timestamp,size_bytes,seq,send_ms,channel,dest
2026-02-16T15:48:14,135,196,1771253293347,0,
2026-02-16T15:48:16,135,197,1771253295350,0,
2026-02-16T15:48:18,135,198,1771253297352,0,
2026-02-16T15:48:20,135,199,1771253299355,0,
2026-02-16T15:48:22,135,200,1771253301358,0,
2026-02-16T15:48:24,140,201,1771253303359,0,
2026-02-16T15:48:26,140,202,1771253305362,0,
2026-02-16T15:48:28,140,203,1771253307364,0,
2026-02-16T15:48:30,140,204,1771253309367,0,
2026-02-16T15:48:32,140,205,1771253311369,0,
2026-02-16T15:48:34,140,206,1771253313371,0,
2026-02-16T15:48:36,140,207,1771253315374,0,
2026-02-16T15:48:38,140,208,1771253317377,0,
2026-02-16T15:48:40,140,209,1771253319380,0,
2026-02-16T15:48:42,140,210,1771253321383,0,
2026-02-16T15:48:44,145,211,1771253323386,0,
2026-02-16T15:48:46,145,212,1771253325389,0,
2026-02-16T15:48:48,145,213,1771253327392,0,
2026-02-16T15:48:50,145,214,1771253329394,0,
2026-02-16T15:48:52,145,215,1771253331398,0,
2026-02-16T15:48:54,145,216,1771253333400,0,
2026-02-16T15:48:56,145,217,1771253335402,0,
2026-02-16T15:48:58,145,218,1771253337404,0,
2026-02-16T15:49:00,145,219,1771253339407,0,
2026-02-16T15:49:02,145,220,1771253341409,0,
2026-02-16T15:49:04,150,221,1771253343412,0,
2026-02-16T15:49:06,150,222,1771253345415,0,
2026-02-16T15:49:08,150,223,1771253347418,0,
2026-02-16T15:49:10,150,224,1771253349420,0,
2026-02-16T15:49:12,150,225,1771253351423,0,
2026-02-16T15:49:14,150,226,1771253353426,0,
2026-02-16T15:49:16,150,227,1771253355429,0,
2026-02-16T15:49:18,150,228,1771253357432,0,
2026-02-16T15:49:20,150,229,1771253359434,0,
2026-02-16T15:49:22,150,230,1771253361437,0,
2026-02-16T15:49:25,155,231,1771253363439,0,
2026-02-16T15:49:27,155,232,1771253366443,0,
2026-02-16T15:49:29,155,233,1771253368946,0,
2026-02-16T15:49:31,155,234,1771253370948,0,
2026-02-16T15:49:33,155,235,1771253372951,0,
2026-02-16T15:49:35,155,236,1771253374953,0,
2026-02-16T15:49:37,155,237,1771253376956,0,
2026-02-16T15:49:39,155,238,1771253378959,0,
2026-02-16T15:49:41,155,239,1771253380962,0,
2026-02-16T15:49:47,155,240,1771253382964,0,
2026-02-16T15:49:49,160,241,1771253388968,0,
2026-02-16T15:49:51,160,242,1771253390971,0,
2026-02-16T15:49:53,160,243,1771253392973,0,
2026-02-16T15:49:57,160,244,1771253394976,0,
2026-02-16T15:49:59,160,245,1771253398480,0,
2026-02-16T15:50:01,160,246,1771253400483,0,
2026-02-16T15:50:03,160,247,1771253402485,0,
2026-02-16T15:50:07,160,248,1771253404487,0,
2026-02-16T15:50:10,160,249,1771253408491,0,
2026-02-16T15:50:12,160,250,1771253411495,0,
2026-02-16T15:50:14,165,251,1771253413498,0,
2026-02-16T15:50:17,165,252,1771253415501,0,
2026-02-16T15:50:20,165,253,1771253418504,0,
2026-02-16T15:50:24,165,254,1771253421006,0,
2026-02-16T15:50:26,165,255,1771253425010,0,
2026-02-16T15:50:28,165,256,1771253427013,0,
2026-02-16T15:50:30,165,257,1771253429015,0,
2026-02-16T15:50:32,165,258,1771253431018,0,
2026-02-16T15:50:34,165,259,1771253433021,0,
2026-02-16T15:50:36,165,260,1771253435023,0,
2026-02-16T15:50:38,170,261,1771253437026,0,
2026-02-16T15:50:40,170,262,1771253439029,0,
2026-02-16T15:50:42,170,263,1771253441031,0,
2026-02-16T15:50:44,170,264,1771253443033,0,
2026-02-16T15:50:49,170,265,1771253445036,0,
2026-02-16T15:50:54,170,266,1771253450041,0,
2026-02-16T15:50:57,170,267,1771253455546,0,
2026-02-16T15:50:59,170,268,1771253458049,0,
2026-02-16T15:51:01,170,269,1771253460052,0,
2026-02-16T15:51:03,170,270,1771253462055,0,
2026-02-16T15:51:05,175,271,1771253464057,0,
2026-02-16T15:51:07,175,272,1771253466060,0,
2026-02-16T15:51:09,175,273,1771253468063,0,
2026-02-16T15:51:11,175,274,1771253470066,0,
2026-02-16T15:51:18,175,275,1771253472068,0,
2026-02-16T15:51:22,175,276,1771253479074,0,
2026-02-16T15:51:26,175,277,1771253483578,0,
2026-02-16T15:51:29,175,278,1771253487582,0,
2026-02-16T15:51:31,175,279,1771253490085,0,
2026-02-16T15:51:33,175,280,1771253492087,0,
2026-02-16T15:51:38,180,281,1771253494090,0,
2026-02-16T15:51:45,180,282,1771253499595,0,
2026-02-16T15:51:47,180,283,1771253506100,0,
2026-02-16T15:51:49,180,284,1771253508603,0,
2026-02-16T15:51:51,180,285,1771253510605,0,
2026-02-16T15:52:00,180,286,1771253512607,0,
2026-02-16T15:52:04,180,287,1771253521114,0,
2026-02-16T15:52:06,180,288,1771253525619,0,
2026-02-16T15:52:08,180,289,1771253527622,0,
2026-02-16T15:52:10,180,290,1771253529623,0,
2026-02-16T15:52:12,185,291,1771253531625,0,
2026-02-16T15:52:14,185,292,1771253533628,0,
2026-02-16T15:52:16,185,293,1771253535630,0,
2026-02-16T15:52:18,185,294,1771253537633,0,
2026-02-16T15:52:20,185,295,1771253539636,0,
2026-02-16T15:52:22,185,296,1771253541638,0,
2026-02-16T15:52:24,185,297,1771253543640,0,
2026-02-16T15:52:26,185,298,1771253545643,0,
2026-02-16T15:52:28,185,299,1771253547645,0,
2026-02-16T15:52:30,185,300,1771253549647,0,
2026-02-16T15:52:38,190,301,1771253551650,0,
2026-02-16T15:52:44,190,302,1771253559158,0,
2026-02-16T15:52:46,190,303,1771253565164,0,
2026-02-16T15:52:48,190,304,1771253567166,0,
2026-02-16T15:52:52,190,305,1771253569168,0,
2026-02-16T15:52:55,190,306,1771253573671,0,
2026-02-16T15:52:59,190,307,1771253576174,0,
2026-02-16T15:53:04,190,308,1771253580177,0,
2026-02-16T15:53:06,190,309,1771253585682,0,
2026-02-16T15:53:08,190,310,1771253587685,0,
2026-02-16T15:53:10,195,311,1771253589689,0,
2026-02-16T15:53:17,195,312,1771253591692,0,
2026-02-16T15:53:19,195,313,1771253598697,0,
2026-02-16T15:53:26,195,314,1771253600700,0,
2026-02-16T15:53:29,195,315,1771253607707,0,
2026-02-16T15:53:31,195,316,1771253610209,0,
2026-02-16T15:53:34,195,317,1771253612712,0,
2026-02-16T15:53:37,195,318,1771253615716,0,
2026-02-16T15:53:39,195,319,1771253618218,0,
2026-02-16T15:53:41,195,320,1771253620721,0,
2026-02-16T15:53:43,200,321,1771253622724,0,
2026-02-16T15:53:49,200,322,1771253624727,0,
2026-02-16T15:53:51,200,323,1771253630734,0,
2026-02-16T15:53:53,200,324,1771253632736,0,
2026-02-16T15:53:59,200,325,1771253634738,0,
2026-02-16T15:54:02,200,326,1771253640744,0,
2026-02-16T15:54:06,200,327,1771253643247,0,
2026-02-16T15:54:08,200,328,1771253647751,0,
